Gr>G	regulates
_CbG	is bound by
GpCC	participates
GiG	interacts
PCiC	includes
_CcSE	is caused by
GpBP	participates
AuG	upregulates
CpD	palliates
DrD	resembles
_DuG	is upregulated by
DuG	upregulates
_PCiC	is included in
DpS	presents
AdG	downregulates
AeG	expresses
_AuG	is upregulated by
_DlA	is localized by
_DdG	is downregulated by
_CdG	is downregulated by
_DrD	resembles
DlA	localizes
_GiG	is interacted by
GpMF	participates
CcSE	causes
_GpBP	is participated by
CrC	resembles
CuG	upregulates
CtD	treats
_Gr>G	is regulated by
_CuG	is upregulated by
_GpPW	is participated by
_AeG	is expressed by
_CrC	resembles
CdG	downregulates
CbG	binds
GcG	covaries
_CpD	is palliated by
_DpS	is presented by
_DaG	is associated by
_GpCC	is participated by
DaG	associates
DdG	downregulates
_GcG	is covaried by
_AdG	is downregulated by
_CtD	is treated by
GpPW	participates
_GpMF	is participated by
